id,quarter,ann_time,t0,source_pdf,TariffMentions_call_all,TariffSent_mean_call_all,TariffSent_shareNeg_call_all,TariffSent_fwd_call_all,TariffMentions_call_prep,TariffSent_mean_call_prep,TariffSent_shareNeg_call_prep,TariffSent_fwd_call_prep,TariffMentions_call_qna,TariffSent_mean_call_qna,TariffSent_shareNeg_call_qna,TariffSent_fwd_call_qna
,2025Q3,2025-07-31 12:00:00+00:00,2025-07-31,"Air Products and Chemicals, Inc., Q3 2025 Earnings Call, Jul 31, 2025.pdf",2,0.0,0.0,0.0,0,,,,2,0.0,0.0,0.0
,2025Q3,2025-08-27 20:30:00+00:00,2025-08-28,"Agilent Technologies, Inc., Q3 2025 Earnings Call, Aug 27, 2025.pdf",34,-0.058823529411764705,0.20588235294117646,0.16666666666666666,15,0.2,0.06666666666666667,0.3333333333333333,19,-0.2631578947368421,0.3157894736842105,0.0
,2024Q1,2024-02-05 13:30:00+00:00,2024-02-05,"Air Products and Chemicals, Inc., Q1 2024 Earnings Call, Feb 05, 2024.pdf",0,,,,0,,,,0,,,
,2024Q4,2024-11-25 21:30:00+00:00,2024-11-26,"Agilent Technologies, Inc., Q4 2024 Earnings Call, Nov 25, 2024.pdf",10,-0.3,0.3,-0.5,0,,,,10,-0.3,0.3,-0.5
,2025Q2,2025-05-01 12:00:00+00:00,2025-05-01,"Air Products and Chemicals, Inc., Q2 2025 Earnings Call, May 01, 2025.pdf",6,-0.6666666666666666,0.6666666666666666,-0.5,2,-0.5,0.5,-0.5,4,-0.75,0.75,
,2025Q1,2025-02-13 21:30:00+00:00,2025-02-14,"Airbnb, Inc., Q4 2024 Earnings Call, Feb 13, 2025.pdf",0,,,,0,,,,0,,,
ALB,2025Q2,2025-05-01 12:00:00+00:00,2025-05-01,"Albemarle Corporation, Q1 2025 Earnings Call, May 01, 2025.pdf",17,0.17647058823529413,0.0,0.5,12,0.16666666666666666,0.0,0.5,5,0.2,0.0,
,2025Q2,2025-05-08 20:30:00+00:00,2025-05-09,"Akamai Technologies, Inc., Q1 2025 Earnings Call, May 08, 2025.pdf",4,0.0,0.0,0.0,4,0.0,0.0,0.0,0,,,
ALB,2025Q3,2025-07-31 12:00:00+00:00,2025-07-31,"Albemarle Corporation, Q2 2025 Earnings Call, Jul 31, 2025.pdf",5,0.0,0.0,0.0,3,0.0,0.0,0.0,2,0.0,0.0,
ALB,2025Q1,2025-02-13 13:00:00+00:00,2025-02-13,"Albemarle Corporation, Q4 2024 Earnings Call, Feb 13, 2025.pdf",2,0.0,0.0,,0,,,,2,0.0,0.0,
ALB,2024Q4,2024-11-07 13:00:00+00:00,2024-11-07,"Albemarle Corporation, Q3 2024 Earnings Call, Nov 07, 2024.pdf",1,0.0,0.0,,0,,,,1,0.0,0.0,
,2025Q2,2025-04-29 19:00:00+00:00,2025-04-30,"Alexandria Real Estate Equities, Inc., Q1 2025 Earnings Call, Apr 29, 2025.pdf",10,-0.06666666666666668,0.2,0.0,6,0.0,0.16666666666666666,0.0,4,-0.16666666666666669,0.25,
,2025Q3,2025-07-22 18:00:00+00:00,2025-07-23,"Alexandria Real Estate Equities, Inc., Q2 2025 Earnings Call, Jul 22, 2025.pdf",4,0.25,0.25,,4,0.25,0.25,,0,,,
,2025Q2,2025-04-30 20:30:00+00:00,2025-05-01,"Align Technology, Inc., Q1 2025 Earnings Call, Apr 30, 2025.pdf",31,0.03225806451612903,0.16129032258064516,-0.25,12,-0.25,0.25,-0.3333333333333333,19,0.21052631578947367,0.10526315789473684,0.0
,2024Q1,2024-01-30 20:00:00+00:00,2024-01-31,"Alexandria Real Estate Equities, Inc., Q4 2023 Earnings Call, Jan 30, 2024.pdf",0,,,,0,,,,0,,,
,2025Q3,2025-07-30 20:30:00+00:00,2025-07-31,"Align Technology, Inc., Q2 2025 Earnings Call, Jul 30, 2025.pdf",11,-0.09090909090909091,0.36363636363636365,-1.0,8,0.0,0.25,-1.0,3,-0.3333333333333333,0.6666666666666666,
,2024Q1,2024-01-31 21:30:00+00:00,2024-02-01,"Align Technology, Inc., Q4 2023 Earnings Call, Jan 31, 2024.pdf",0,,,,0,,,,0,,,
ALLE,2025Q1,2025-02-18 13:00:00+00:00,2025-02-18,"Allegion plc, Q4 2024 Earnings Call, Feb 18, 2025.pdf",11,0.09090909090909091,0.0,0.0,5,0.2,0.0,0.0,6,0.0,0.0,
,2025Q2,2025-05-09 14:00:00+00:00,2025-05-09,"Alliant Energy Corporation, Q1 2025 Earnings Call, May 09, 2025.pdf",7,0.14285714285714285,0.0,,3,0.3333333333333333,0.0,,4,0.0,0.0,
,2025Q1,2025-02-05 21:30:00+00:00,2025-02-06,"Align Technology, Inc., Q4 2024 Earnings Call, Feb 05, 2025.pdf",14,-0.07142857142857142,0.07142857142857142,-0.2,5,-0.2,0.2,-0.3333333333333333,9,0.0,0.0,0.0
,2024Q4,2024-11-01 14:00:00+00:00,2024-11-01,"Alliant Energy Corporation, Q3 2024 Earnings Call, Nov 01, 2024.pdf",2,0.0,0.0,,0,,,,2,0.0,0.0,
,2025Q2,2025-04-29 13:00:00+00:00,2025-04-29,"Altria Group, Inc., Q1 2025 Earnings Call, Apr 29, 2025.pdf",13,-0.07692307692307693,0.15384615384615385,0.0,3,-0.3333333333333333,0.3333333333333333,0.0,10,0.0,0.1,0.0
ALLE,2025Q2,2025-05-06 14:30:00+00:00,2025-05-06,Allegion plc - AnalystInvestor Day.pdf,4,-0.25,0.25,0.0,3,0.0,0.0,0.0,1,-1.0,1.0,
,2025Q3,2025-07-30 13:00:00+00:00,2025-07-30,"Altria Group, Inc., Q2 2025 Earnings Call, Jul 30, 2025.pdf",13,-0.33333333333333337,0.38461538461538464,-0.3333333333333333,2,-0.16666666666666666,0.5,,11,-0.36363636363636365,0.36363636363636365,-0.3333333333333333
,2024Q1,2024-01-30 21:30:00+00:00,2024-01-31,"Alphabet Inc., Q4 2023 Earnings Call, Jan 30, 2024.pdf",0,,,,0,,,,0,,,
,2024Q1,2024-02-01 14:00:00+00:00,2024-02-01,"Altria Group, Inc., Q4 2023 Earnings Call, Feb 01, 2024.pdf",1,0.0,0.0,,1,0.0,0.0,,0,,,
,2025Q1,2025-01-30 14:00:00+00:00,2025-01-30,"Altria Group, Inc., Q4 2024 Earnings Call, Jan 30, 2025.pdf",8,-0.5,0.5,,1,-1.0,1.0,,7,-0.42857142857142855,0.42857142857142855,
,2025Q2,2025-05-01 21:00:00+00:00,2025-05-02,"Amazon.com, Inc., Q1 2025 Earnings Call, May 01, 2025.pdf",16,-0.0625,0.1875,0.0,9,-0.2222222222222222,0.2222222222222222,0.0,7,0.14285714285714285,0.14285714285714285,
,2025Q3,2025-07-31 21:00:00+00:00,2025-08-01,"Amazon.com, Inc., Q2 2025 Earnings Call, Jul 31, 2025.pdf",11,-0.18181818181818182,0.18181818181818182,0.0,6,-0.3333333333333333,0.3333333333333333,0.0,5,0.0,0.0,0.0
,2024Q1,2024-02-01 22:30:00+00:00,2024-02-02,"Amazon.com, Inc., Q4 2023 Earnings Call, Feb 01, 2024.pdf",0,,,,0,,,,0,,,
AMCR,2024Q1,2024-02-06 22:30:00+00:00,2024-02-07,"Amcor plc, H1 2024 Earnings Call, Feb 06, 2024.pdf",0,,,,0,,,,0,,,
AMCR,2025Q1,2025-02-04 13:00:00+00:00,2025-02-04,"Amcor plc, Q2 2025 Earnings Call, Feb 04, 2025.pdf",8,0.0,0.0,,0,,,,8,0.0,0.0,
AMCR,2025Q3,2025-08-14 12:00:00+00:00,2025-08-14,"Amcor plc, Q4 2025 Earnings Call, Aug 14, 2025.pdf",1,1.0,0.0,,1,1.0,0.0,,0,,,
AMCR,2025Q2,2025-04-30 21:30:00+00:00,2025-05-01,"Amcor plc, Q3 2025 Earnings Call, Apr 30, 2025.pdf",4,0.0,0.25,,1,1.0,0.0,,3,-0.3333333333333333,0.3333333333333333,
AEE,2025Q2,2025-05-02 14:00:00+00:00,2025-05-02,"Ameren Corporation, Q1 2025 Earnings Call, May 02, 2025.pdf",10,0.2,0.0,,4,0.25,0.0,,6,0.16666666666666666,0.0,
AEE,2025Q3,2025-08-01 14:00:00+00:00,2025-08-01,"Ameren Corporation, Q2 2025 Earnings Call, Aug 01, 2025.pdf",4,0.0,0.25,0.0,0,,,,4,0.0,0.25,0.0
AEE,2024Q4,2024-11-07 15:00:00+00:00,2024-11-07,"Ameren Corporation, Q3 2024 Earnings Call, Nov 07, 2024.pdf",4,-0.25,0.25,0.0,4,-0.25,0.25,0.0,0,,,
AEE,2025Q1,2025-02-14 15:00:00+00:00,2025-02-14,"Ameren Corporation, Q4 2024 Earnings Call, Feb 14, 2025.pdf",6,0.0,0.16666666666666666,,3,0.3333333333333333,0.0,,3,-0.3333333333333333,0.3333333333333333,
,2025Q2,2025-05-06 13:00:00+00:00,2025-05-06,"American Electric Power Company, Inc., Q1 2025 Earnings Call, May 06, 2025.pdf",7,0.42857142857142855,0.0,,7,0.42857142857142855,0.0,,0,,,
,2024Q4,2024-11-06 14:00:00+00:00,2024-11-06,"American Electric Power Company, Inc., Q3 2024 Earnings Call, Nov 06, 2024.pdf",6,-0.16666666666666666,0.16666666666666666,0.0,2,0.0,0.0,,4,-0.25,0.25,0.0
,2025Q3,2025-07-30 13:00:00+00:00,2025-07-30,"American Electric Power Company, Inc., Q2 2025 Earnings Call, Jul 30, 2025.pdf",12,0.25,0.0,0.0,10,0.2,0.0,0.0,2,0.5,0.0,
AXP,2025Q2,2025-04-17 12:30:00+00:00,2025-04-17,"American Express Company, Q1 2025 Earnings Call, Apr 17, 2025.pdf",1,0.0,0.0,,0,,,,1,0.0,0.0,
