ticker,quarter,surprise_pct,sue_z
A,2020Q1,-0.08797653958944289,-0.03464960197765639
A,2020Q2,-0.003205128205128279,-0.11372067610096867
A,2020Q3,-0.03416149068322991,-0.10980317595160433
A,2020Q4,-0.03715170278637774,-0.08174559868190603
A,2021Q1,-0.154639175257732,-0.062004426648417245
A,2021Q2,-0.158974358974359,-0.04900464594802018
A,2021Q3,-0.2372093023255814,-0.044591419883234264
A,2021Q4,-0.23897911832946633,-0.051457370181146225
A,2022Q1,-0.10144927536231889,-0.04002412437946665
A,2022Q2,-0.10882956878850107,-0.052246875955219776
A,2022Q3,-0.1439842209072979,-0.058450941916539025
A,2022Q4,-0.1439842209072979,-0.07648625439742157
A,2023Q1,-0.07610619469026558,-0.04309602397711097
A,2023Q2,-0.08098591549295775,-0.02954100755091984
A,2023Q3,-0.03690036900369007,-0.04193313560947698
A,2023Q4,-0.03690036900369007,-0.042752180101526455
A,2024Q1,-0.0072992700729927066,0.05878286356747137
A,2024Q2,-0.010909090909090839,0.003987529000772015
A,2024Q3,0.04615384615384619,-0.001481328764456325
A,2024Q4,0.038167938931297746,0.03168981967901357
A,2025Q1,-0.05026929982046683,-0.05780173373266391
A,2025Q2,-0.05026929982046683,-0.041542883422406085
AAPL,2020Q1,-0.1046686746987951,-0.038978368080356554
AAPL,2020Q2,-0.03802588996763745,-0.11590979144420116
AAPL,2020Q3,-0.08256172839506175,-0.11229911753341872
AAPL,2020Q4,-0.1738035264483628,-0.08474274510094612
AAPL,2021Q1,-0.26126126126126137,-0.08065878118441
AAPL,2021Q2,-0.36434108527131787,-0.05434333853069424
AAPL,2021Q3,-0.4153297682709448,-0.04939852899068549
AAPL,2021Q4,-0.026041666666666574,-0.04094325634850973
AAPL,2022Q1,-0.0833333333333333,-0.03765296781418633
AAPL,2022Q2,-0.08482871125611739,-0.05152719534309256
AAPL,2022Q3,-0.07881773399014771,-0.056184756910680374
AAPL,2022Q4,-0.019261637239165345,-0.07241496466728461
AAPL,2023Q1,0.02516778523489939,-0.039037322557682864
AAPL,2023Q2,0.020033388981636077,-0.025814947526985918
AAPL,2023Q3,0.008250825082508368,-0.040058972133922864
AAPL,2023Q4,-0.07261724659606662,-0.04422553749539705
AAPL,2024Q1,-0.06697108066971086,0.02399206556209534
AAPL,2024Q2,-0.06980273141122913,0.0017013297499460548
AAPL,2024Q3,-0.08507462686567169,-0.007371821742015044
AAPL,2024Q4,-0.08783783783783788,0.02422379471710769
AAPL,2025Q1,-0.07786885245901642,-0.07331976968815013
AAPL,2025Q2,-0.07534246575342464,-0.043009868172116696
ABBV,2020Q1,-0.07644628099173556,-0.031659463673230706
ABBV,2020Q2,-0.12950340798442064,-0.12166080974808494
ABBV,2020Q3,-0.14285714285714288,-0.11540847895938235
ABBV,2020Q4,-0.14694656488549626,-0.08415369883711031
ABBV,2021Q1,-0.15180722891566256,-0.06150895584051989
ABBV,2021Q2,-0.15789473684210517,-0.04897658020059613
ABBV,2021Q3,-0.16323296354992067,-0.04259494895566855
ABBV,2021Q4,-0.1658767772511848,-0.04784782977607738
ABBV,2022Q1,-0.10120311394196754,-0.039991904842273884
ABBV,2022Q2,-0.09608540925266913,-0.05186473442034256
ABBV,2022Q3,-0.08567314614830822,-0.056423156016981064
ABBV,2022Q4,-0.08435472242249459,-0.0745397828150146
ABBV,2023Q1,0.2518181818181818,-0.02995397965947482
ABBV,2023Q2,0.2518181818181818,-0.017265650387831066
ABBV,2023Q3,0.24728260869565225,-0.030137094154592835
ABBV,2023Q4,0.22727272727272715,-0.0318547721841103
ABBV,2024Q1,-0.005371530886302641,0.05990680440285924
ABBV,2024Q2,-0.011565836298932453,0.003962034723199129
ABBV,2024Q3,0.02302025782688766,-0.002519733284833668
ABBV,2024Q4,0.016468435498627605,0.030404092639799277
ABBV,2025Q1,-0.1745513866231648,-0.12768018128885147
ABBV,2025Q2,-0.16912972085385883,-0.04849718769600281
ABNB,2020Q4,,
ABNB,2021Q1,-0.11882605583392986,-0.05573864577868881
ABNB,2021Q2,-7.015384615384616,-0.22724319140128055
ABNB,2021Q3,-10.408759124087592,-0.3191008622742303
ABNB,2021Q4,-23.421875,-1.196148472505569
