ticker,fiscal_quarter,TariffSent_mean_call_all,TariffSent_neg_call_all,TariffSent_pos_call_all,TariffSent_fwd_call_all,TariffMentions_call_all,TariffSent_mean_call_prep,TariffSent_mean_call_qna,TariffSent_mean_press_all,TariffMentions_press_all,CAR_press_mkt_0p1,CAR_press_mkt_m01p01,CAR_press_mkt_0p2
ACGL,2024Q2,-0.016639889639918692,0.017461015842854977,0.0008211262029362842,0.0,2,,-0.016639889639918692,,0.0,0.0494469,0.0532608,0.0427679
ACGL,2024Q3,0.9999992408899061,1.6306364614138147e-07,0.9999994039535522,0.0,1,,0.9999992408899061,,0.0,-0.0108573,0.0014575999999999,0.0055204999999999
ACGL,2024Q4,0.11893358883127221,0.21476263403645715,0.3336962228677294,0.16666666666666666,6,0.11893358883127221,,,0.0,-0.0882246999999999,-0.0849503999999999,-0.0882246999999999
ACGL,2025Q1,-0.28584045201036395,0.5708797357643302,0.28503928375396625,0.0,7,-0.28584045201036395,,,0.0,0.0,0.0,0.0
ACGL,2025Q2,-0.01162211417753838,0.21163699478669856,0.20001488060916017,0.0,5,,-0.01162211417753838,,0.0,0.0,0.0,0.0
ACN,2024Q1,0.0013954381709027075,0.00014441291023103986,0.0015398510811337474,0.5,4,,0.0013954381709027075,,0.0,-0.1149232,-0.1087853,-0.1149232
ACN,2024Q2,0.49980675997269586,0.0002118249076126233,0.5000185848803085,0.5,2,0.49980675997269586,,,0.0,0.0821776,0.0821776,0.0821776
ACN,2024Q3,0.49464665468190105,0.005310681727451083,0.49995733640935214,0.5,2,0.49464665468190105,,,0.0,0.038449,0.030909,0.038449
ACN,2025Q1,0.3326545063009476,0.0007706806082055095,0.3334251869091531,0.0,3,0.3326545063009476,,,0.0,0.0,0.0,0.0
ACN,2025Q2,-0.003665121595929577,0.17018353509112671,0.16651841349519714,0.0,6,-0.003665121595929577,,,0.0,0.0,0.0,0.0
ACN,2025Q3,-0.17368504275911992,0.42481835870997237,0.2511333159508524,0.14285714285714285,7,-0.17368504275911992,,,,,,
ADBE,2024Q1,-0.07109249610033667,0.4044988466078152,0.3334063505074785,0.0,3,-0.07109249610033667,,,0.0,-0.1366611,-0.1420262,-0.1366611
ADBE,2024Q2,0.9999984721998325,3.76840481042251e-08,0.9999985098838806,0.0,2,0.9999984721998325,,,0.0,0.1451287999999999,0.1426645999999999,0.1451287999999999
ADBE,2024Q4,-0.9999135781445148,0.9999183416366577,4.763492142956238e-06,1.0,1,-0.9999135781445148,,,0.0,-0.1556984,-0.1505221,-0.1556984
ADBE,2025Q1,0.017840041990590787,0.3152076925374179,0.33304773452800873,0.0,3,0.017840041990590787,,,0.0,0.0,0.0,0.0
ADBE,2025Q2,0.0007518336224165978,2.529057201172691e-05,0.0007771241944283247,0.0,1,0.0007518336224165978,,,0.0,0.0,0.0,0.0
