indexname,gvkey,tic,companyname,primaryflag,fromdate
S&P 500,125240,TKO,"TKO Group Holdings, Inc.",1,2025-03-24
S&P 500,064630,TTWO,"Take-Two Interactive Software, Inc.",1,2018-03-19
S&P 500,140541,TPR,"Tapestry, Inc.",1,2017-10-31
S&P 500,185532,TRGP,Targa Resources Corp.,1,2022-10-12
S&P 500,003813,TGT,Target Corporation,1,2009-12-18
S&P 500,126721,TDY,Teledyne Technologies Incorporated,1,2020-06-22
S&P 500,010453,TER,"Teradyne, Inc.",1,2020-09-21
S&P 500,184996,TSLA,"Tesla, Inc.",1,2020-12-21
S&P 500,010499,TXN,Texas Instruments Incorporated,1,2009-12-18
S&P 500,010504,TPL,Texas Pacific Land Corporation,1,2024-11-26
S&P 500,010519,TXT,Textron Inc.,1,2009-12-18
S&P 500,024216,AES,The AES Corporation,1,2009-12-18
S&P 500,028349,ALL,The Allstate Corporation,1,2009-12-18
S&P 500,002019,BK,The Bank of New York Mellon Corporation,1,2009-12-18
S&P 500,002285,BA,The Boeing Company,1,2009-12-18
S&P 500,002663,CPB,The Campbell's Company,1,2009-12-18
S&P 500,013988,SCHW,The Charles Schwab Corporation,1,2009-12-18
S&P 500,002547,CI,The Cigna Group,1,2018-12-21
S&P 500,003121,CLX,The Clorox Company,1,2009-12-18
S&P 500,003144,KO,The Coca-Cola Company,1,2009-12-18
S&P 500,003504,COO,"The Cooper Companies, Inc.",1,2024-02-20
S&P 500,061567,EL,The Estée Lauder Companies Inc.,1,2009-12-18
S&P 500,114628,GS,"The Goldman Sachs Group, Inc.",1,2009-12-18
S&P 500,061739,HIG,"The Hartford Insurance Group, Inc.",1,2009-12-18
S&P 500,005597,HSY,The Hershey Company,1,2009-12-18
S&P 500,005680,HD,"The Home Depot, Inc.",1,2009-12-18
S&P 500,006136,IPG,"The Interpublic Group of Companies, Inc.",1,2009-12-18
S&P 500,009777,SJM,The J. M. Smucker Company,1,2009-12-18
S&P 500,005568,KHC,The Kraft Heinz Company,1,2015-07-06
S&P 500,006502,KR,The Kroger Co.,1,2009-12-18
S&P 500,162129,MOS,The Mosaic Company,1,2011-09-26
S&P 500,008245,PNC,"The PNC Financial Services Group, Inc.",1,2009-12-18
S&P 500,008762,PG,The Procter & Gamble Company,1,2009-12-18
S&P 500,013341,PGR,The Progressive Corporation,1,2009-12-18
S&P 500,009667,SHW,The Sherwin-Williams Company,1,2009-12-18
S&P 500,009850,SO,The Southern Company,1,2009-12-18
S&P 500,011672,TJX,"The TJX Companies, Inc.",1,2009-12-18
S&P 500,027885,TTD,"The Trade Desk, Inc.",1,2025-07-18
S&P 500,062689,TRV,"The Travelers Companies, Inc.",1,2009-12-18
S&P 500,003980,DIS,The Walt Disney Company,1,2009-12-18
S&P 500,011506,WMB,"The Williams Companies, Inc.",1,2009-12-18
S&P 500,010530,TMO,Thermo Fisher Scientific Inc.,1,2009-12-18
S&P 500,029736,TSCO,Tractor Supply Company,1,2014-01-24
S&P 500,005959,TT,Trane Technologies plc,1,2020-03-02
S&P 500,148349,TDG,TransDigm Group Incorporated,1,2016-06-03
S&P 500,022815,TRMB,Trimble Inc.,1,2021-01-21
S&P 500,011856,TFC,Truist Financial Corporation,1,2019-12-09
S&P 500,010789,TYL,"Tyler Technologies, Inc.",1,2020-06-22
S&P 500,010793,TSN,"Tyson Foods, Inc.",1,2009-12-18
S&P 500,004723,USB,U.S. Bancorp,1,2009-12-18
S&P 500,010894,UDR,"UDR, Inc.",1,2016-03-07
S&P 500,035077,UBER,"Uber Technologies, Inc.",1,2023-12-18
S&P 500,178704,ULTA,"Ulta Beauty, Inc.",1,2016-04-18
S&P 500,010867,UNP,Union Pacific Corporation,1,2009-12-18
S&P 500,010795,UAL,"United Airlines Holdings, Inc.",1,2015-09-03
S&P 500,010920,UPS,"United Parcel Service, Inc.",1,2009-12-18
S&P 500,066065,URI,"United Rentals, Inc.",1,2014-09-22
S&P 500,010903,UNH,UnitedHealth Group Incorporated,1,2009-12-18
S&P 500,011032,UHS,"Universal Health Services, Inc.",1,2014-09-22
S&P 500,032580,VICI,VICI Properties Inc.,1,2022-06-08
S&P 500,015247,VLO,Valero Energy Corporation,1,2009-12-18
S&P 500,110179,VTR,"Ventas, Inc.",1,2009-12-18
S&P 500,043197,VLTO,Veralto Corporation,1,2023-10-02
S&P 500,066368,VRSN,"VeriSign, Inc.",1,2009-12-18
S&P 500,180652,VRSK,"Verisk Analytics, Inc.",1,2015-10-08
S&P 500,002136,VZ,Verizon Communications Inc.,1,2009-12-18
S&P 500,024344,VRTX,Vertex Pharmaceuticals Incorporated,1,2013-09-23
S&P 500,007637,VTRS,Viatris Inc.,1,2020-11-17
S&P 500,179534,V,Visa Inc.,1,2009-12-21
S&P 500,157373,VST,Vistra Corp.,1,2024-05-08
S&P 500,011228,VMC,Vulcan Materials Company,1,2009-12-18
S&P 500,014822,WRB,W. R. Berkley Corporation,1,2019-12-05
S&P 500,005256,GWW,"W.W. Grainger, Inc.",1,2009-12-18
S&P 500,011550,WEC,"WEC Energy Group, Inc.",1,2015-06-30
S&P 500,011259,WMT,Walmart Inc.,1,2009-12-18
S&P 500,164296,WBD,"Warner Bros. Discovery, Inc.",1,2022-04-11
S&P 500,014477,WM,"Waste Management, Inc.",1,2009-12-18
S&P 500,061574,WAT,Waters Corporation,1,2009-12-18
S&P 500,008007,WFC,Wells Fargo & Company,1,2009-12-18
S&P 500,005543,WELL,Welltower Inc.,1,2018-02-28
S&P 500,011376,WST,"West Pharmaceutical Services, Inc.",1,2020-05-22
S&P 500,011399,WDC,Western Digital Corporation,1,2009-12-18
S&P 500,060979,WAB,Westinghouse Air Brake Technologies Corporation,1,2019-02-27
S&P 500,011456,WY,Weyerhaeuser Company,1,2009-12-18
S&P 500,011511,WSM,"Williams-Sonoma, Inc.",1,2025-03-24
S&P 500,144009,WTW,Willis Towers Watson Public Limited Company,1,2022-01-10
S&P 500,015044,WDAY,"Workday, Inc.",1,2024-12-23
S&P 500,149318,WYNN,"Wynn Resorts, Limited",1,2009-12-18
S&P 500,007977,XEL,Xcel Energy Inc.,1,2009-12-18
S&P 500,189491,XYL,Xylem Inc.,1,2011-11-01
S&P 500,065417,YUM,"Yum! Brands, Inc.",1,2009-12-18
S&P 500,024405,ZBRA,Zebra Technologies Corporation,1,2019-12-23
S&P 500,144559,ZBH,"Zimmer Biomet Holdings, Inc.",1,2015-06-29
S&P 500,013721,ZTS,Zoetis Inc.,1,2013-06-28
S&P 500,114524,EBAY,eBay Inc.,1,2009-12-18
S&P 500,178015,LULU,lululemon athletica inc.,1,2023-10-18
