m01p01,0p1,0p2,ticker,event_date
,,,A,2025-05-28 00:00:00
,,,A,2025-02-26 00:00:00
-0.00035883624393497505,-0.00035883624393497505,0.02813162989912959,A,2024-11-25 00:00:00
0.012064216620559842,0.00687829899659577,-0.013348401846302437,A,2024-08-21 00:00:00
-0.12398049207293432,-0.11595099118468152,-0.13578519222690355,A,2024-05-29 00:00:00
0.019596265836104246,0.026419884483012433,0.032193126746951975,A,2024-02-27 00:00:00
0.09613114942057678,0.09613114942057678,0.09184158016433629,A,2023-11-20 00:00:00
,,,AAPL,2025-05-01 00:00:00
,,,AAPL,2025-01-30 00:00:00
-0.0371380992307664,-0.02439045424838978,-0.02439045424838978,AAPL,2024-10-31 00:00:00
-0.0058818273863088175,0.011498737820827118,0.011498737820827118,AAPL,2024-08-01 00:00:00
0.06321655736745362,0.060018952777425555,0.060018952777425555,AAPL,2024-05-02 00:00:00
-0.026610467065119787,-0.02504377272138754,-0.02504377272138754,AAPL,2024-02-01 00:00:00
0.003474555040452562,-0.004567037559265937,-0.004567037559265937,AAPL,2023-11-02 00:00:00
,,,ABBV,2025-04-25 00:00:00
,,,ABBV,2025-04-03 00:00:00
,,,ABBV,2025-01-31 00:00:00
,,,ABBV,2025-01-06 00:00:00
0.07773236685520576,0.07381528452189,0.07728791152365665,ABBV,2024-10-30 00:00:00
-0.02366713931554854,-0.020979160306491884,-0.020979160306491884,ABBV,2024-10-03 00:00:00
0.08766852982623496,0.05028118556269591,0.05028118556269591,ABBV,2024-07-25 00:00:00
-0.05147373319182197,-0.02851952125944064,-0.0011580215228633,ABBV,2024-07-03 00:00:00
-0.051496806161232755,-0.04893693024287794,-0.04893693024287794,ABBV,2024-04-26 00:00:00
-0.06538686709186352,-0.06502529310053994,-0.055319615387659365,ABBV,2024-04-03 00:00:00
0.03058259686616785,0.012803107894217548,0.012803107894217548,ABBV,2024-02-02 00:00:00
0.005785954702064994,0.0017600914845572239,0.0017600914845572239,ABBV,2024-01-05 00:00:00
-0.036085166774566774,-0.03325367820079148,-0.03325367820079148,ABBV,2023-10-27 00:00:00
-0.005164872475927792,-0.003449916259736648,-0.001122326662474615,ABBV,2023-10-04 00:00:00
,,,ABNB,2025-05-01 00:00:00
,,,ABNB,2025-02-13 00:00:00
-0.06094154747188647,-0.058578207621763335,-0.058578207621763335,ABNB,2024-11-07 00:00:00
-0.07675907501358804,-0.09567907834114389,-0.11124629828830193,ABNB,2024-08-06 00:00:00
-0.09840666022314781,-0.08570369424676524,-0.08854108567308482,ABNB,2024-05-08 00:00:00
0.004706131921943128,-0.03445950729544696,0.016668577065736975,ABNB,2024-02-13 00:00:00
-0.08004853354545928,-0.07453855231525644,-0.03528769487276985,ABNB,2023-11-01 00:00:00
,,,ABT,2025-04-16 00:00:00
,,,ABT,2025-01-22 00:00:00
0.008860387407467838,0.014274892640857094,0.025310222514149973,ABT,2024-10-16 00:00:00
0.029783740340446254,-0.011218933382475125,-0.011218933382475125,ABT,2024-07-18 00:00:00
-0.03489121041822992,-0.039018912780641735,-0.02574063081381412,ABT,2024-04-17 00:00:00
-0.029229658336570433,-0.01876787396971864,-0.02192675134052933,ABT,2024-01-24 00:00:00
0.053674662329784004,0.053891751920515374,0.07700837577131016,ABT,2023-10-18 00:00:00
,,,ACGL,2025-04-29 00:00:00
,,,ACGL,2025-02-10 00:00:00
-0.06676571544184215,-0.061366493994090325,-0.08335548897473444,ACGL,2024-10-30 00:00:00
-0.01827507133367505,-0.016647974617789628,0.00383411945698783,ACGL,2024-07-30 00:00:00
0.028259207548213088,0.028259207548213088,0.05407235832360005,ACGL,2024-04-29 00:00:00
0.04906412588055471,0.04166970327438203,0.024184663398777752,ACGL,2024-02-14 00:00:00
0.03974004173446274,0.03974004173446274,0.07148472834210322,ACGL,2023-10-30 00:00:00
,,,ACN,2025-06-20 00:00:00
,,,ACN,2025-03-20 00:00:00
0.028862596992643035,0.03837448955263966,0.03837448955263966,ACN,2024-12-19 00:00:00
0.0294411884126381,0.036098811357785934,0.036098811357785934,ACN,2024-09-26 00:00:00
0.08158472655212705,0.08158472655212705,0.08158472655212705,ACN,2024-06-20 00:00:00
-0.11715177558367898,-0.11576557679377714,-0.11576557679377714,ACN,2024-03-21 00:00:00
-0.013526249090348125,-0.0016025442564363262,0.012966189053402636,ACN,2023-12-19 00:00:00
-0.020696827745784362,-0.027319345804580574,-0.027319345804580574,ACN,2023-09-28 00:00:00
,,,ADBE,2025-06-12 00:00:00
,,,ADBE,2025-03-12 00:00:00
-0.1303546356942638,-0.14050168897002305,-0.16090602059965867,ADBE,2024-12-11 00:00:00
-0.06696470332514594,-0.06539755326800871,-0.06539755326800871,ADBE,2024-09-12 00:00:00
0.1215201871520486,0.13359126710979552,0.13359126710979552,ADBE,2024-06-13 00:00:00
-0.1320227806595921,-0.12662008606358666,-0.12662008606358666,ADBE,2024-03-14 00:00:00
-0.08678509142558288,-0.08704610814905736,-0.09346376555383322,ADBE,2023-12-13 00:00:00
,,,ADI,2025-05-22 00:00:00
,,,ADI,2025-02-19 00:00:00
0.008576422487925414,-0.029214508611670346,-0.029214508611670346,ADI,2024-11-26 00:00:00
-0.002872458793706298,-0.0005645145229527769,0.0029958830939032267,ADI,2024-08-21 00:00:00
0.10091055369894503,0.10567545097931295,0.08766867345402155,ADI,2024-05-22 00:00:00
0.012407596631742936,-0.006544689806306601,-0.01709987144395487,ADI,2024-02-21 00:00:00
-0.009388094458628853,-0.005303061294153058,-0.005303061294153058,ADI,2023-11-21 00:00:00
,,,ADM,2025-05-06 00:00:00
,,,ADM,2025-02-04 00:00:00
0.004980292901148757,0.004980292901148757,0.015907352211238616,ADM,2024-11-18 00:00:00
-0.06946800421933379,-0.08534022628339372,-0.08402555361085133,ADM,2024-11-05 00:00:00
